CompanyName,CompanyNumber,RegAddress.AddressLine1,RegAddress.PostTown,RegAddress.PostCode,CompanyStatus,IncorporationDate,Accounts.AccountCategory,SICCode.SicText_1,PreviousName_1.CompanyName,stratum,postcode_company_count
MONTASH DEVELOPMENTS LIMITED,11711149,EDGEHILL,WADHURST,TN5 6HX,Active,04/12/2018,MICRO ENTITY,41100 - Development of building projects,,all,6
MYLOR CHANDLERY LTD,04584851,MYLOR YACHT HARBOUR,CORNWALL,TR11 5UF,Active,07/11/2002,TOTAL EXEMPTION FULL,47710 - Retail sale of clothing in specialised stores,,all,15
NAR VALLEY (BLOCK K) MANAGEMENT COMPANY LTD,10189225,ONE ELEVEN,BIRMINGHAM,B3 2HJ,Active,19/05/2016,DORMANT,98000 - Residents property management,,all,299
NICOSSE CONSULTING LTD,SC819438,7 DEAN VIEW,KILMARNOCK,KA3 7SY,Active,14/08/2024,MICRO ENTITY,"74909 - Other professional, scientific and technical activities n.e.c.",,trading,1
NORTHERN RENEWABLE CENTRE LIMITED,13943934,39-41 ESPLANADE,REDCAR,TS10 3AG,Active,28/02/2022,UNAUDITED ABRIDGED,"47990 - Other retail sale not in stores, stalls or markets",,trading,6
NOVA HOUSING SERVICES LTD,11649939,8 LOWESWATER HOUSE,LONDON,E3 4PY,Active,30/10/2018,TOTAL EXEMPTION FULL,68209 - Other letting and operating of own or leased real estate,,trading,5
OGGI SCAFFOLDING LIMITED,09050822,140 WALLACE ROAD,IPSWICH,IP1 5DD,Active,21/05/2014,MICRO ENTITY,43991 - Scaffold erection,,trading,1
OLIBELLE GROUP LIMITED,14913696,18 DARK LANE,NOTTINGHAM,NG13 9FE,Active,05/06/2023,UNAUDITED ABRIDGED,64209 - Activities of other holding companies n.e.c.,,all,8
OLLANDS INVESTMENTS LIMITED,07310566,FIRST FLOOR SUITE,BURY ST EDMUNDS,IP32 7EA,Active,09/07/2010,MICRO ENTITY,82990 - Other business support service activities n.e.c.,,trading,150
OM RETAIL UK LIMITED,11135449,2-4 PARK LANE,READING,RG31 5DL,Active,05/01/2018,MICRO ENTITY,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,all,74
ONE LOVE SOCIAL CLUB C.I.C.,15933835,,,NN4,Active,03/09/2024,MICRO ENTITY,88990 - Other social work activities without accommodation n.e.c.,,all,1
PAPA CHARLIE PROPERTIES LIMITED,11116615,41 FRASER CRESCENT,WATFORD,WD25 0BF,Active,18/12/2017,DORMANT,68209 - Other letting and operating of own or leased real estate,,all,11
PBW ROOFING LIMITED,15681226,17 SCHOOL CLOSE,NEWMARKET,CB8 9EN,Active,25/04/2024,MICRO ENTITY,43910 - Roofing activities,,trading,1
PERSIMMON FINANCE (JERSEY) LIMITED,FC028766,44 ESPLANADE,ST HELLIER,JE9 9WG,Active,27/02/2008,FULL,None Supplied,,trading,1
